0    [INFO] org.hibernate.annotations.common.Version 2016-02-16 09:20:36,053  HCANN000001: Hibernate Commons Annotations {4.0.5.Final}
59   [INFO] org.hibernate.Version 2016-02-16 09:20:36,112  HHH000412: Hibernate Core {4.3.11.Final}
69   [INFO] org.hibernate.cfg.Environment 2016-02-16 09:20:36,122  HHH000206: hibernate.properties not found
73   [INFO] org.hibernate.cfg.Environment 2016-02-16 09:20:36,126  HHH000021: Bytecode provider name : javassist
126  [INFO] org.hibernate.cfg.Configuration 2016-02-16 09:20:36,179  HHH000043: Configuring from resource: /hibernate.cfg.xml
126  [INFO] org.hibernate.cfg.Configuration 2016-02-16 09:20:36,179  HHH000040: Configuration resource: /hibernate.cfg.xml
250  [WARN] org.hibernate.internal.util.xml.DTDEntityResolver 2016-02-16 09:20:36,303  HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
293  [INFO] org.hibernate.cfg.Configuration 2016-02-16 09:20:36,346  HHH000221: Reading mappings from resource: co/edu/usbcali/demo/modelo/TiposDocumentos.hbm.xml
400  [WARN] org.hibernate.internal.util.xml.DTDEntityResolver 2016-02-16 09:20:36,453  HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
522  [INFO] org.hibernate.cfg.Configuration 2016-02-16 09:20:36,575  HHH000221: Reading mappings from resource: co/edu/usbcali/demo/modelo/Retiros.hbm.xml
545  [WARN] org.hibernate.internal.util.xml.DTDEntityResolver 2016-02-16 09:20:36,598  HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
565  [INFO] org.hibernate.cfg.Configuration 2016-02-16 09:20:36,618  HHH000221: Reading mappings from resource: co/edu/usbcali/demo/modelo/Clientes.hbm.xml
576  [WARN] org.hibernate.internal.util.xml.DTDEntityResolver 2016-02-16 09:20:36,629  HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
613  [INFO] org.hibernate.cfg.Configuration 2016-02-16 09:20:36,666  HHH000221: Reading mappings from resource: co/edu/usbcali/demo/modelo/Usuarios.hbm.xml
616  [WARN] org.hibernate.internal.util.xml.DTDEntityResolver 2016-02-16 09:20:36,669  HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
654  [INFO] org.hibernate.cfg.Configuration 2016-02-16 09:20:36,707  HHH000221: Reading mappings from resource: co/edu/usbcali/demo/modelo/Consignaciones.hbm.xml
